Source,Target,Type,Id,Label,timeset,Weight,source_label,target_label,source modularity,target modularity,,,,,3,0,5,4,1,2,
384,385,Directed,40,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",mmo_games,mobile,3,3,,,,,,,,,,,
40,172,Directed,41,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 3.0]>",automotive,digital_media,0,3,,,,,,,,,,,
118,169,Directed,42,,<[2011.0]>,"<[2011.0, 1.0]>",consumer,dietary_supplements,4,2,,,,,,,,,,,
27,40,Directed,43,,<[2011.0]>,"<[2011.0, 1.0]>",apps,automotive,3,0,,,,,,,,,,,
434,488,Directed,44,,<[2012.0]>,"<[2012.0, 2.0]>",parks,recreation,4,4,,,,,,,,,,,
276,389,Directed,45,,<[2011.0]>,"<[2011.0, 1.0]>",group_buying,mobile_payments,4,1,,,,,,,,,,,
60,443,Directed,46,,<[2012.0]>,"<[2012.0, 1.0]>",brand_marketing,pharmaceutical,3,2,,,,,,,,,,,
147,356,Directed,47,,<[2012.0]>,"<[2012.0, 1.0]>",crowdsourcing,location_based_services,4,3,,,,,,,,,,,
46,363,Directed,48,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 2.0]; [2012.0, 3.0]>",banking,manufacturing,1,0,,,,,,,,,,,
52,346,Directed,49,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 8.0]; [2011.0, 3.0]; [2012.0, 2.0]>",bioinformatics,life_science,2,2,,,,,,,,,,,
21,165,Directed,50,,<[2010.0]>,"<[2010.0, 1.0]>",android,developer_apis,3,3,,,,,,,,,,,
270,515,Directed,51,,"<[2011.0, 2012.0]>","<[2011.0, 2.0]; [2012.0, 1.0]>",gps,search_engine,3,3,,,,,,,,,,,
90,341,Directed,52,,<[2012.0]>,"<[2012.0, 1.0]>",cloud_computing,legal,5,5,,,,,,,,,,,
142,602,Directed,53,,<[2012.0]>,"<[2012.0, 1.0]>",credit,venture_capital,1,1,,,,,,,,,,,
10,552,Directed,54,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 3.0]; [2012.0, 4.0]>",advertising,social_network,3,3,,,,,,,,,,,
503,632,Directed,55,,<[2011.0]>,"<[2011.0, 1.0]>",retail_technology,web_development,4,3,,,,,,,,,,,
287,318,Directed,56,,<[2010.0]>,"<[2010.0, 1.0]>",home_health_care,insurance,2,1,,,,,,,,,,,
193,296,Directed,57,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",electrical_distribution,housekeeping_service,0,0,,,,,,,,,,,
103,360,Directed,58,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 7.0]; [2012.0, 3.0]>",commercial,machinery_manufacturing,0,0,,,,,,,,,,,
597,646,Directed,59,,<[2012.0]>,"<[2012.0, 1.0]>",universities,young_adults,2,1,,,,,,,,,,,
207,311,Directed,60,,"<[2011.0, 2012.0]>","<[2011.0, 2.0]; [2012.0, 1.0]>",energy_management,industrial_engineering,0,0,,,,,,,,,,,
209,244,Directed,61,,<[2012.0]>,"<[2012.0, 1.0]>",enterprise,food_and_beverage,5,4,,,,,,,,,,,
325,386,Directed,62,,<[2011.0]>,"<[2011.0, 1.0]>",internet_radio,mobile_advertising,3,3,,,,,,,,,,,
49,142,Directed,63,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 3.0]>",big_data,credit,5,1,,,,,,,,,,,
177,374,Directed,64,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",document_management,medical,5,2,,,,,,,,,,,
246,294,Directed,65,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 3.0]; [2012.0, 6.0]>",food_processing,hospitality,4,4,,,,,,,,,,,
117,214,Directed,66,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 3.0]; [2012.0, 2.0]>",consulting,environmental_engineering,5,0,,,,,,,,,,,
268,608,Directed,67,,<[2012.0]>,"<[2012.0, 2.0]>",government,video_conferencing,5,3,,,,,,,,,,,
239,633,Directed,68,,<[2010.0]>,"<[2010.0, 1.0]>",fintech,web_hosting,1,5,,,,,,,,,,,
165,378,Directed,69,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 2.0]; [2012.0, 2.0]>",developer_apis,messaging,3,3,,,,,,,,,,,
10,354,Directed,70,,<[2011.0]>,"<[2011.0, 1.0]>",advertising,local_business,3,2,,,,,,,,,,,
232,480,Directed,71,,<[2010.0]>,"<[2010.0, 1.0]>",file_sharing,publishing,5,3,,,,,,,,,,,
40,84,Directed,72,,<[2010.0]>,"<[2010.0, 1.0]>",automotive,civictech,0,0,,,,,,,,,,,
56,245,Directed,73,,<[2012.0]>,"<[2012.0, 1.0]>",biotechnology,food_delivery,2,4,,,,,,,,,,,
90,127,Directed,74,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",cloud_computing,content,5,3,,,,,,,,,,,
183,246,Directed,75,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 9.0]; [2012.0, 6.0]>",e-commerce,food_processing,4,4,,,,,,,,,,,
