Source,Target,Type,Id,Label,timeset,Weight,source_label,target_label,source modularity,target modularity,,,,,3,0,5,4,1,2,
280,318,Directed,2645,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 33.0]; [2011.0, 35.0]; [2012.0, 46.0]>",health_care,insurance,2,1,,,,,,,,,,,
565,619,Directed,2646,,<[2012.0]>,"<[2012.0, 1.0]>",subscription_service,virtualization,3,5,,,,,,,,,,,
254,357,Directed,2647,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 5.0]; [2011.0, 3.0]; [2012.0, 3.0]>",fuel,logistics,0,0,,,,,,,,,,,
385,634,Directed,2648,,<[2012.0]>,"<[2012.0, 3.0]>",mobile,webos,3,5,,,,,,,,,,,
177,329,Directed,2649,,<[2011.0]>,"<[2011.0, 1.0]>",document_management,it_management,5,5,,,,,,,,,,,
432,630,Directed,2650,,<[2011.0]>,"<[2011.0, 1.0]>",parenting,web_browsers,3,3,,,,,,,,,,,
311,557,Directed,2651,,<[2011.0]>,"<[2011.0, 1.0]>",industrial_engineering,software_engineering,0,5,,,,,,,,,,,
10,11,Directed,2652,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 13.0]; [2011.0, 16.0]; [2012.0, 9.0]>",advertising,advertising_platforms,3,3,,,,,,,,,,,
172,293,Directed,2653,,<[2011.0]>,"<[2011.0, 1.0]>",digital_media,hospital,3,2,,,,,,,,,,,
1,117,Directed,2654,,<[2011.0]>,"<[2011.0, 1.0]>",3d_technology,consulting,5,5,,,,,,,,,,,
92,117,Directed,2655,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",cloud_infrastructure,consulting,5,5,,,,,,,,,,,
343,587,Directed,2656,,<[2012.0]>,"<[2012.0, 1.0]>",leisure,transaction_processing,4,1,,,,,,,,,,,
68,490,Directed,2657,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 1.0]>",business_intelligence,recruiting,5,1,,,,,,,,,,,
37,163,Directed,2658,,<[2011.0]>,"<[2011.0, 1.0]>",audio,delivery_service,3,4,,,,,,,,,,,
60,236,Directed,2659,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",brand_marketing,finance,3,1,,,,,,,,,,,
357,548,Directed,2660,,<[2011.0]>,"<[2011.0, 1.0]>",logistics,social_media,0,3,,,,,,,,,,,
10,415,Directed,2661,,<[2010.0]>,"<[2010.0, 1.0]>",advertising,oil_and_gas,3,0,,,,,,,,,,,
127,610,Directed,2662,,<[2011.0]>,"<[2011.0, 1.0]>",content,video_games,3,3,,,,,,,,,,,
279,372,Directed,2663,,<[2012.0]>,"<[2012.0, 2.0]>",hardware,mechanical_engineering,5,0,,,,,,,,,,,
103,602,Directed,2664,,<[2010.0]>,"<[2010.0, 1.0]>",commercial,venture_capital,0,1,,,,,,,,,,,
35,382,Directed,2665,,<[2011.0]>,"<[2011.0, 2.0]>",association,mining,3,0,,,,,,,,,,,
589,616,Directed,2666,,<[2012.0]>,"<[2012.0, 1.0]>",transportation,virtual_reality,0,5,,,,,,,,,,,
244,351,Directed,2667,,<[2012.0]>,"<[2012.0, 1.0]>",food_and_beverage,livestock,4,2,,,,,,,,,,,
477,550,Directed,2668,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 2.0]>",public_relations,social_media_management,3,3,,,,,,,,,,,
393,610,Directed,2669,,<[2012.0]>,"<[2012.0, 1.0]>",music,video_games,3,3,,,,,,,,,,,
10,232,Directed,2670,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",advertising,file_sharing,3,5,,,,,,,,,,,
262,375,Directed,2671,,"<[2010.0, 2012.0]>","<[2010.0, 4.0]; [2012.0, 2.0]>",genetics,medical_device,2,2,,,,,,,,,,,
117,567,Directed,2672,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 1.0]>",consulting,sustainability,5,0,,,,,,,,,,,
314,643,Directed,2673,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 2.0]; [2012.0, 2.0]>",information_services,wireless,5,3,,,,,,,,,,,
381,415,Directed,2674,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 1.0]>",mineral,oil_and_gas,0,0,,,,,,,,,,,
90,92,Directed,2675,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 8.0]; [2012.0, 7.0]>",cloud_computing,cloud_infrastructure,5,5,,,,,,,,,,,
108,307,Directed,2676,,<[2010.0]>,"<[2010.0, 1.0]>",communications_infrastructure,indoor_positioning,3,5,,,,,,,,,,,
330,605,Directed,2677,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",jewelry,video,4,3,,,,,,,,,,,
269,494,Directed,2678,,<[2012.0]>,"<[2012.0, 1.0]>",govtech,renewable_energy,5,0,,,,,,,,,,,
17,323,Directed,2679,,<[2012.0]>,"<[2012.0, 1.0]>",air_transportation,internet,0,3,,,,,,,,,,,
68,602,Directed,2680,,<[2012.0]>,"<[2012.0, 2.0]>",business_intelligence,venture_capital,5,1,,,,,,,,,,,
134,183,Directed,2681,,<[2010.0]>,"<[2010.0, 1.0]>",corporate_training,e-commerce,1,4,,,,,,,,,,,
18,280,Directed,2682,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 5.0]>",alternative_medicine,health_care,2,2,,,,,,,,,,,
212,366,Directed,2683,,<[2012.0]>,"<[2012.0, 1.0]>",enterprise_software,marine_transportation,5,0,,,,,,,,,,,
4,352,Directed,2684,,"<[2011.0, 2012.0]>","<[2011.0, 2.0]; [2012.0, 2.0]>",ad_network,local,3,3,,,,,,,,,,,
378,509,Directed,2685,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 4.0]>",messaging,saas,3,5,,,,,,,,,,,
246,424,Directed,2686,,"<[2011.0, 2012.0]>","<[2011.0, 3.0]; [2012.0, 3.0]>",food_processing,organic_food,4,4,,,,,,,,,,,
74,314,Directed,2687,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",career_planning,information_services,5,5,,,,,,,,,,,
13,66,Directed,2688,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",aerospace,business_development,0,5,,,,,,,,,,,
5,458,Directed,2689,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",ad_retargeting,price_comparison,3,4,,,,,,,,,,,
56,419,Directed,2690,,<[2010.0]>,"<[2010.0, 1.0]>",biotechnology,online_portals,2,3,,,,,,,,,,,
518,633,Directed,2691,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 4.0]>",sem,web_hosting,3,5,,,,,,,,,,,
245,502,Directed,2692,,"<[2011.0, 2012.0]>","<[2011.0, 4.0]; [2012.0, 10.0]>",food_delivery,retail,4,4,,,,,,,,,,,
166,403,Directed,2693,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 3.0]>",developer_platform,network_security,5,5,,,,,,,,,,,
74,320,Directed,2694,,<[2010.0]>,"<[2010.0, 1.0]>",career_planning,intellectual_property,5,5,,,,,,,,,,,
311,467,Directed,2695,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 6.0]>",industrial_engineering,product_research,0,0,,,,,,,,,,,
378,552,Directed,2696,,"<[2011.0, 2012.0]>","<[2011.0, 3.0]; [2012.0, 1.0]>",messaging,social_network,3,3,,,,,,,,,,,
195,293,Directed,2697,,<[2010.0]>,"<[2010.0, 1.0]>",electronic_health_record_(ehr),hospital,5,2,,,,,,,,,,,
556,564,Directed,2698,,<[2012.0]>,"<[2012.0, 1.0]>",software,stock_exchanges,5,1,,,,,,,,,,,
237,564,Directed,2699,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 2.0]>",financial_exchanges,stock_exchanges,1,1,,,,,,,,,,,
108,317,Directed,2700,,<[2012.0]>,"<[2012.0, 2.0]>",communications_infrastructure,innovation_management,3,0,,,,,,,,,,,
20,370,Directed,2701,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 2.0]; [2012.0, 1.0]>",analytics,marketplace,5,4,,,,,,,,,,,
120,219,Directed,2702,,<[2012.0]>,"<[2012.0, 1.0]>",consumer_electronics,eyewear,0,2,,,,,,,,,,,
487,562,Directed,2703,,<[2012.0]>,"<[2012.0, 4.0]>",real_time,sports,3,3,,,,,,,,,,,
68,298,Directed,2704,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 1.0]; [2012.0, 3.0]>",business_intelligence,human_resources,5,1,,,,,,,,,,,
98,361,Directed,2705,,<[2010.0]>,"<[2010.0, 1.0]>",collaboration,management_consulting,5,5,,,,,,,,,,,
155,405,Directed,2706,,<[2012.0]>,"<[2012.0, 1.0]>",data_mining,news,1,3,,,,,,,,,,,
8,26,Directed,2707,,<[2010.0]>,"<[2010.0, 1.0]>",advanced_materials,application_performance_management,0,5,,,,,,,,,,,
15,116,Directed,2708,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 1.0]; [2012.0, 3.0]>",agriculture,construction,0,0,,,,,,,,,,,
268,374,Directed,2709,,"<[2010.0, 2012.0]>","<[2010.0, 2.0]; [2012.0, 3.0]>",government,medical,5,2,,,,,,,,,,,
368,477,Directed,2710,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 10.0]; [2011.0, 29.0]; [2012.0, 33.0]>",marketing,public_relations,3,3,,,,,,,,,,,
10,356,Directed,2711,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 4.0]; [2012.0, 6.0]>",advertising,location_based_services,3,3,,,,,,,,,,,
280,403,Directed,2712,,<[2011.0]>,"<[2011.0, 1.0]>",health_care,network_security,2,5,,,,,,,,,,,
117,388,Directed,2713,,<[2010.0]>,"<[2010.0, 1.0]>",consulting,mobile_devices,5,3,,,,,,,,,,,
315,623,Directed,2714,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",information_technology,warehousing,5,0,,,,,,,,,,,
212,281,Directed,2715,,<[2012.0]>,"<[2012.0, 1.0]>",enterprise_software,health_diagnostics,5,2,,,,,,,,,,,
378,619,Directed,2716,,<[2012.0]>,"<[2012.0, 1.0]>",messaging,virtualization,3,5,,,,,,,,,,,
429,573,Directed,2717,,<[2011.0]>,"<[2011.0, 1.0]>",paas,telecommunications,3,3,,,,,,,,,,,
326,328,Directed,2718,,<[2012.0]>,"<[2012.0, 1.0]>",ios,it_infrastructure,3,5,,,,,,,,,,,
348,616,Directed,2719,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",lighting,virtual_reality,0,5,,,,,,,,,,,
103,213,Directed,2720,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 10.0]; [2011.0, 12.0]; [2012.0, 5.0]>",commercial,environmental_consulting,0,0,,,,,,,,,,,
109,492,Directed,2721,,<[2010.0]>,"<[2010.0, 2.0]>",communities,rehabilitation,3,2,,,,,,,,,,,
429,472,Directed,2722,,<[2012.0]>,"<[2012.0, 1.0]>",paas,project_management,3,0,,,,,,,,,,,
220,549,Directed,2723,,<[2012.0]>,"<[2012.0, 2.0]>",facebook,social_media_advertising,3,3,,,,,,,,,,,
99,556,Directed,2724,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",collaborative_consumption,software,0,5,,,,,,,,,,,
386,389,Directed,2725,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",mobile_advertising,mobile_payments,3,1,,,,,,,,,,,
347,356,Directed,2726,,<[2012.0]>,"<[2012.0, 1.0]>",lifestyle,location_based_services,4,3,,,,,,,,,,,
435,530,Directed,2727,,<[2010.0]>,"<[2010.0, 1.0]>",payments,shopping,1,4,,,,,,,,,,,
363,373,Directed,2728,,"<[2010.0, 2011.0]>","<[2010.0, 2.0]; [2011.0, 1.0]>",manufacturing,media_and_entertainment,0,3,,,,,,,,,,,
244,570,Directed,2729,,<[2012.0]>,"<[2012.0, 1.0]>",food_and_beverage,tea,4,4,,,,,,,,,,,
80,412,Directed,2730,,<[2011.0]>,"<[2011.0, 1.0]>",chemical,nutraceutical,0,2,,,,,,,,,,,
27,386,Directed,2731,,"<[2011.0, 2012.0]>","<[2011.0, 5.0]; [2012.0, 2.0]>",apps,mobile_advertising,3,3,,,,,,,,,,,
98,477,Directed,2732,,<[2012.0]>,"<[2012.0, 1.0]>",collaboration,public_relations,5,3,,,,,,,,,,,
171,238,Directed,2733,,<[2012.0]>,"<[2012.0, 2.0]>",digital_marketing,financial_services,3,1,,,,,,,,,,,
262,323,Directed,2734,,<[2010.0]>,"<[2010.0, 1.0]>",genetics,internet,2,3,,,,,,,,,,,
238,301,Directed,2735,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 5.0]; [2012.0, 3.0]>",financial_services,identity_management,1,5,,,,,,,,,,,
236,286,Directed,2736,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",finance,home_decor,1,4,,,,,,,,,,,
236,321,Directed,2737,,<[2011.0]>,"<[2011.0, 1.0]>",finance,intelligent_systems,1,5,,,,,,,,,,,
90,131,Directed,2738,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 1.0]; [2012.0, 1.0]>",cloud_computing,content_marketing,5,3,,,,,,,,,,,
51,205,Directed,2739,,<[2010.0]>,"<[2010.0, 1.0]>",biofuel,energy,0,0,,,,,,,,,,,
108,316,Directed,2740,,<[2012.0]>,"<[2012.0, 3.0]>",communications_infrastructure,infrastructure,3,0,,,,,,,,,,,
170,579,Directed,2741,,<[2012.0]>,"<[2012.0, 2.0]>",digital_entertainment,ticketing,3,3,,,,,,,,,,,
386,388,Directed,2742,,<[2010.0]>,"<[2010.0, 1.0]>",mobile_advertising,mobile_devices,3,3,,,,,,,,,,,
240,280,Directed,2743,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 11.0]; [2011.0, 25.0]; [2012.0, 18.0]>",fitness,health_care,2,2,,,,,,,,,,,
109,293,Directed,2744,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",communities,hospital,3,2,,,,,,,,,,,
15,245,Directed,2745,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 3.0]>",agriculture,food_delivery,0,4,,,,,,,,,,,
13,374,Directed,2746,,<[2012.0]>,"<[2012.0, 1.0]>",aerospace,medical,0,2,,,,,,,,,,,
145,535,Directed,2747,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 3.0]; [2012.0, 5.0]>",crm,small_and_medium_businesses,5,5,,,,,,,,,,,
116,415,Directed,2748,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 20.0]; [2011.0, 15.0]; [2012.0, 9.0]>",construction,oil_and_gas,0,0,,,,,,,,,,,
547,612,Directed,2749,,<[2012.0]>,"<[2012.0, 1.0]>",social_impact,video_streaming,3,3,,,,,,,,,,,
280,299,Directed,2750,,<[2011.0]>,"<[2011.0, 2.0]>",health_care,humanitarian,2,3,,,,,,,,,,,
90,314,Directed,2751,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 10.0]; [2011.0, 17.0]; [2012.0, 13.0]>",cloud_computing,information_services,5,5,,,,,,,,,,,
323,509,Directed,2752,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 11.0]; [2011.0, 11.0]; [2012.0, 8.0]>",internet,saas,3,5,,,,,,,,,,,
66,373,Directed,2753,,<[2010.0]>,"<[2010.0, 1.0]>",business_development,media_and_entertainment,5,3,,,,,,,,,,,
343,533,Directed,2754,,<[2012.0]>,"<[2012.0, 1.0]>",leisure,skiing,4,4,,,,,,,,,,,
91,556,Directed,2755,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 12.0]; [2011.0, 17.0]; [2012.0, 17.0]>",cloud_data_services,software,5,5,,,,,,,,,,,
49,174,Directed,2756,,<[2010.0]>,"<[2010.0, 1.0]>",big_data,direct_marketing,5,3,,,,,,,,,,,
2,563,Directed,2757,,<[2011.0]>,"<[2011.0, 1.0]>",accounting,staffing_agency,5,1,,,,,,,,,,,
323,451,Directed,2758,,<[2012.0]>,"<[2012.0, 1.0]>",internet,point_of_sale,3,1,,,,,,,,,,,
79,409,Directed,2759,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 2.0]>",charity,non_profit,3,3,,,,,,,,,,,
79,323,Directed,2760,,<[2011.0]>,"<[2011.0, 3.0]>",charity,internet,3,3,,,,,,,,,,,
9,294,Directed,2761,,<[2010.0]>,"<[2010.0, 1.0]>",adventure_travel,hospitality,4,4,,,,,,,,,,,
377,576,Directed,2762,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 2.0]>",men's,textiles,4,4,,,,,,,,,,,
487,523,Directed,2763,,<[2011.0]>,"<[2011.0, 1.0]>",real_time,seo,3,3,,,,,,,,,,,
41,525,Directed,2764,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 1.0]; [2012.0, 1.0]>",autonomous_vehicles,service_industry,0,0,,,,,,,,,,,
117,211,Directed,2765,,<[2011.0]>,"<[2011.0, 2.0]>",consulting,enterprise_resource_planning_(erp),5,5,,,,,,,,,,,
315,387,Directed,2766,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 5.0]; [2011.0, 5.0]; [2012.0, 3.0]>",information_technology,mobile_apps,5,3,,,,,,,,,,,
368,462,Directed,2767,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 1.0]; [2012.0, 2.0]>",marketing,private_cloud,3,5,,,,,,,,,,,
4,590,Directed,2768,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 3.0]>",ad_network,travel,3,4,,,,,,,,,,,
54,447,Directed,2769,,<[2010.0]>,"<[2010.0, 1.0]>",biometrics,physical_security,0,5,,,,,,,,,,,
193,556,Directed,2770,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 17.0]; [2011.0, 14.0]; [2012.0, 26.0]>",electrical_distribution,software,0,5,,,,,,,,,,,
548,607,Directed,2771,,<[2011.0]>,"<[2011.0, 1.0]>",social_media,video_chat,3,3,,,,,,,,,,,
477,605,Directed,2772,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 1.0]; [2012.0, 2.0]>",public_relations,video,3,3,,,,,,,,,,,
280,610,Directed,2773,,<[2011.0]>,"<[2011.0, 1.0]>",health_care,video_games,2,3,,,,,,,,,,,
20,187,Directed,2774,,<[2012.0]>,"<[2012.0, 1.0]>",analytics,ediscovery,5,5,,,,,,,,,,,
141,280,Directed,2775,,<[2012.0]>,"<[2012.0, 1.0]>",creative_agency,health_care,3,2,,,,,,,,,,,
369,563,Directed,2776,,<[2012.0]>,"<[2012.0, 1.0]>",marketing_automation,staffing_agency,3,1,,,,,,,,,,,
82,515,Directed,2777,,<[2012.0]>,"<[2012.0, 1.0]>",child_care,search_engine,4,3,,,,,,,,,,,
40,192,Directed,2778,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 6.0]; [2012.0, 3.0]>",automotive,electric_vehicle,0,0,,,,,,,,,,,
610,616,Directed,2779,,<[2012.0]>,"<[2012.0, 1.0]>",video_games,virtual_reality,3,5,,,,,,,,,,,
31,393,Directed,2780,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",art,music,3,3,,,,,,,,,,,
56,375,Directed,2781,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 50.0]; [2011.0, 35.0]; [2012.0, 71.0]>",biotechnology,medical_device,2,2,,,,,,,,,,,
120,407,Directed,2782,,<[2011.0]>,"<[2011.0, 1.0]>",consumer_electronics,nightclubs,0,4,,,,,,,,,,,
188,593,Directed,2783,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 3.0]; [2012.0, 1.0]>",edtech,tutoring,1,1,,,,,,,,,,,
362,455,Directed,2784,,"<[2010.0, 2012.0]>","<[2010.0, 2.0]; [2012.0, 2.0]>",management_information_systems,precious_metals,5,0,,,,,,,,,,,
136,227,Directed,2785,,"<[2010.0, 2012.0]>","<[2010.0, 2.0]; [2012.0, 1.0]>",cosmetics,fashion,4,4,,,,,,,,,,,
446,503,Directed,2786,,<[2011.0]>,"<[2011.0, 1.0]>",photography,retail_technology,3,4,,,,,,,,,,,
213,364,Directed,2787,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",environmental_consulting,mapping_services,0,5,,,,,,,,,,,
68,91,Directed,2788,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 4.0]; [2012.0, 1.0]>",business_intelligence,cloud_data_services,5,5,,,,,,,,,,,
370,439,Directed,2789,,<[2010.0]>,"<[2010.0, 2.0]>",marketplace,personal_finance,4,1,,,,,,,,,,,
354,375,Directed,2790,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 4.0]; [2011.0, 2.0]; [2012.0, 1.0]>",local_business,medical_device,2,2,,,,,,,,,,,
142,633,Directed,2791,,<[2012.0]>,"<[2012.0, 2.0]>",credit,web_hosting,1,5,,,,,,,,,,,
32,183,Directed,2792,,<[2011.0]>,"<[2011.0, 3.0]>",artificial_intelligence,e-commerce,5,4,,,,,,,,,,,
226,374,Directed,2793,,<[2011.0]>,"<[2011.0, 1.0]>",farming,medical,0,2,,,,,,,,,,,
91,95,Directed,2794,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 4.0]; [2011.0, 2.0]; [2012.0, 2.0]>",cloud_data_services,cloud_storage,5,5,,,,,,,,,,,
509,563,Directed,2795,,<[2010.0]>,"<[2010.0, 2.0]>",saas,staffing_agency,5,1,,,,,,,,,,,
530,531,Directed,2796,,<[2010.0]>,"<[2010.0, 4.0]>",shopping,shopping_mall,4,4,,,,,,,,,,,
7,131,Directed,2797,,<[2012.0]>,"<[2012.0, 1.0]>",ad_targeting,content_marketing,3,3,,,,,,,,,,,
144,236,Directed,2798,,"<[2011.0, 2012.0]>","<[2011.0, 2.0]; [2012.0, 5.0]>",credit_cards,finance,1,1,,,,,,,,,,,
27,118,Directed,2799,,<[2012.0]>,"<[2012.0, 2.0]>",apps,consumer,3,4,,,,,,,,,,,
60,594,Directed,2800,,<[2012.0]>,"<[2012.0, 1.0]>",brand_marketing,tv,3,3,,,,,,,,,,,
204,586,Directed,2801,,<[2012.0]>,"<[2012.0, 1.0]>",employment,training,1,5,,,,,,,,,,,
315,337,Directed,2802,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 2.0]>",information_technology,law_enforcement,5,5,,,,,,,,,,,
385,483,Directed,2803,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",mobile,quantum_computing,3,5,,,,,,,,,,,
387,487,Directed,2804,,<[2012.0]>,"<[2012.0, 1.0]>",mobile_apps,real_time,3,3,,,,,,,,,,,
4,358,Directed,2805,,<[2011.0]>,"<[2011.0, 1.0]>",ad_network,loyalty_programs,3,3,,,,,,,,,,,
11,419,Directed,2806,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",advertising_platforms,online_portals,3,3,,,,,,,,,,,
149,622,Directed,2807,,<[2012.0]>,"<[2012.0, 3.0]>",customer_service,voip,1,3,,,,,,,,,,,
167,251,Directed,2808,,<[2011.0]>,"<[2011.0, 2.0]>",developer_tools,freemium,3,3,,,,,,,,,,,
103,133,Directed,2809,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 6.0]; [2012.0, 4.0]>",commercial,cooking,0,0,,,,,,,,,,,
288,311,Directed,2810,,<[2011.0]>,"<[2011.0, 1.0]>",home_improvement,industrial_engineering,4,0,,,,,,,,,,,
91,315,Directed,2811,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 15.0]; [2012.0, 19.0]>",cloud_data_services,information_technology,5,5,,,,,,,,,,,
205,509,Directed,2812,,<[2011.0]>,"<[2011.0, 1.0]>",energy,saas,0,5,,,,,,,,,,,
385,632,Directed,2813,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 6.0]; [2012.0, 8.0]>",mobile,web_development,3,3,,,,,,,,,,,
220,556,Directed,2814,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 3.0]>",facebook,software,3,5,,,,,,,,,,,
515,518,Directed,2815,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 2.0]; [2012.0, 4.0]>",search_engine,sem,3,3,,,,,,,,,,,
150,268,Directed,2816,,"<[2010.0, 2011.0]>","<[2010.0, 5.0]; [2011.0, 1.0]>",cyber_security,government,5,5,,,,,,,,,,,
386,573,Directed,2817,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",mobile_advertising,telecommunications,3,3,,,,,,,,,,,
66,308,Directed,2818,,<[2010.0]>,"<[2010.0, 2.0]>",business_development,industrial,5,0,,,,,,,,,,,
108,301,Directed,2819,,<[2012.0]>,"<[2012.0, 1.0]>",communications_infrastructure,identity_management,3,5,,,,,,,,,,,
286,548,Directed,2820,,<[2011.0]>,"<[2011.0, 1.0]>",home_decor,social_media,4,3,,,,,,,,,,,
227,643,Directed,2821,,<[2010.0]>,"<[2010.0, 1.0]>",fashion,wireless,4,3,,,,,,,,,,,
68,403,Directed,2822,,<[2012.0]>,"<[2012.0, 1.0]>",business_intelligence,network_security,5,5,,,,,,,,,,,
326,386,Directed,2823,,<[2011.0]>,"<[2011.0, 2.0]>",ios,mobile_advertising,3,3,,,,,,,,,,,
54,388,Directed,2824,,<[2012.0]>,"<[2012.0, 1.0]>",biometrics,mobile_devices,0,3,,,,,,,,,,,
590,591,Directed,2825,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 4.0]; [2011.0, 6.0]; [2012.0, 8.0]>",travel,travel_accommodations,4,4,,,,,,,,,,,
213,290,Directed,2826,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",environmental_consulting,home_services,0,4,,,,,,,,,,,
212,411,Directed,2827,,<[2012.0]>,"<[2012.0, 1.0]>",enterprise_software,nursing_and_residential_care,5,2,,,,,,,,,,,
10,102,Directed,2828,,<[2012.0]>,"<[2012.0, 1.0]>",advertising,college_recruiting,3,3,,,,,,,,,,,
313,465,Directed,2829,,<[2012.0]>,"<[2012.0, 1.0]>",information_and_communications_technology_(ict),product_design,3,0,,,,,,,,,,,
127,177,Directed,2830,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 3.0]>",content,document_management,3,5,,,,,,,,,,,
281,644,Directed,2831,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",health_diagnostics,women's,2,4,,,,,,,,,,,
227,562,Directed,2832,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 8.0]; [2011.0, 14.0]; [2012.0, 5.0]>",fashion,sports,4,3,,,,,,,,,,,
633,643,Directed,2833,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 9.0]; [2011.0, 8.0]; [2012.0, 5.0]>",web_hosting,wireless,5,3,,,,,,,,,,,
