Id,Label,timeset,count,modularity_class
18567,accenture,,33,3
211,digital,,1110,6
58,professional,,573,3
1168,providing,,839,3
464,strategy,,220,4
727,access,,195,3
168,business,,2304,3
182,data,,869,3
3,software,,1967,3
157,accessory,,160,2
86,manufacture,,1593,2
906,accounting,,91,3
560,financial,,710,3
85,market,,1611,2
1143,acquisition,,110,1
45,development,,900,20
296,investment,,723,1
489,global,,1850,2
819,ingredient,,96,6
1598,acute,,25,10
533,care,,547,10
2920,added,,82,1
365,value,,263,1
132,administration,,84,3
2306,adult,,23,10
841,health,,565,10
159,leading,,1461,2
401,manufacturing,,522,2
161,security,,522,3
21,system,,1216,2
216,advertiser,,71,6
14,medium,,1067,6
12,platform,,1384,6
206,advertising,,346,6
423,agency,,589,6
6,brand,,597,6
127,communication,,793,6
1469,content,,471,6
7,marketing,,1023,6
639,mobile,,1021,6
187,network,,730,6
38,online,,1313,6
298,publisher,,179,6
16,social,,424,6
1453,advisory,,156,3
265,aegis,,28,6
1099,creative,,128,6
11474,dentsu,,28,6
14135,digitally,,30,6
2986,native,,50,6
404,specializes,,537,6
690,aerospace,,132,2
291,component,,339,2
729,defense,,96,2
109,design,,1204,2
895,africa,,83,2
1875,aftermarket,,41,2
836,automotive,,237,2
1051,government,,172,3
568,insurance,,879,4
230,public,,270,0
130,research,,365,20
1450,travel,,250,6
697,agriculture,,56,0
75,construction,,324,0
526,mapping,,37,0
12625,positioning,,35,0
1171,purpose,,61,0
2886,surveying,,35,0
4147,trimble,,27,0
10,allows,,163,6
1754,create,,196,6
309,user,,542,6
1021,video,,328,6
1040,alternative,,126,1
1158,asset,,300,1
574,capital,,501,1
1448,equity,,658,1
626,manager,,148,1
1195,private,,916,1
339,europe,,247,2
891,latin,,27,2
518,medical,,654,10
742,semiconductor,,153,2
242,analysis,,169,3
986,news,,179,6
1256,analytics,,326,3
199,cloud,,634,3
19,customer,,966,3
128,information,,778,3
2314,intelligence,,237,3
1078,predictive,,37,3
881,risk,,334,4
807,android,,50,6
418,animal,,104,10
421,veterinary,,102,10
1443,apple,,36,2
3536,computer,,40,2
1113,consumer,,630,6
1534,electronics,,193,2
3780,multinational,,270,20
344,personal,,307,4
148,application,,724,3
