Id,Label,timeset,count,modularity_class
455,abuse,,16,15
1458,housing,,36,15
1042,access,,99,0
19,software,,1240,0
282,accessory,,104,1
1286,apparel,,53,1
421,part,,113,1
5005,accounting,,58,0
229,business,,1337,0
274,active,,78,11
466,global,,1036,11
1384,ingredient,,63,11
1583,nutrition,,68,11
681,science,,150,15
1717,activity,,70,5
985,investment,,255,5
811,added,,55,11
812,value,,144,11
2195,administration,,63,0
316,advanced,,160,11
49,system,,893,10
1097,advertising,,172,0
605,agency,,316,0
291,digital,,529,0
68,marketing,,590,0
41,medium,,510,0
70,mobile,,450,0
311,online,,547,0
810,advisory,,82,5
552,aerospace,,98,10
555,defense,,94,10
528,market,,974,10
254,best,,95,0
116,brand,,287,0
782,client,,336,0
602,commercial,,370,10
154,communication,,502,0
10,insurance,,554,3
499,public,,176,5
6,travel,,117,0
1348,allows,,60,0
21,user,,250,0
1283,america,,123,15
215,largest,,256,15
17,north,,144,15
4688,analog,,37,18
1488,signal,,48,18
1149,analytics,,106,0
284,data,,455,0
650,animal,,39,15
7,health,,423,15
14,application,,437,0
48,cloud,,255,0
156,design,,793,10
2978,develop,,50,0
22,development,,510,9
46,enterprise,,355,0
231,industrial,,446,10
326,integrated,,330,0
55,manufacture,,1144,10
155,network,,481,0
5485,oracle,,23,0
20,platform,,532,0
42,power,,297,10
1321,apps,,43,0
2558,architecture,,67,4
60,consulting,,500,4
403,engineering,,448,4
382,interior,,37,4
3921,landscape,,27,4
586,planning,,114,4
151,professional,,347,6
12598,stantec,,19,4
1326,asset,,159,11
1074,automation,,130,10
1175,automotive,,143,1
1392,award,,25,2
1390,winning,,23,2
841,bank,,135,5
305,banking,,133,5
29,financial,,395,0
423,personal,,137,5
445,bearing,,33,10
84,supply,,471,10
111,benefit,,152,3
236,brokerage,,233,3
106,casualty,,83,3
422,employee,,156,3
424,property,,237,3
104,range,,335,6
1214,beverage,,71,11
85,food,,349,11
4,consumer,,360,0
1789,portfolio,,126,11
517,broad,,76,6
38,broadband,,78,0
608,broker,,66,3
146,providing,,493,14
901,retail,,219,3
1172,canadian,,82,3
676,formed,,63,3
8113,gallagher,,75,3
394,headquartered,,149,3
478,held,,344,3
12663,itasca,,72,3
8499,merger,,63,3
481,privately,,360,3
235,risk,,243,3
1547,brown,,36,3
